ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2219","Health professionals n.e.c.","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","504","Physiotherapy","Number","60"
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","702","Social Care","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2221","Physiotherapists","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","30","Nursing and Midwifery","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","501","Occupational Therapy","Number","69"
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","2222","Occupational therapists","702","Social Care","Number","3"
