ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03434V04142","Nationality","C03686V04429","PPSN Validity","C03919V04671","Gender","C04477V05260","Field of Study","UNIT","VALUE"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","504","Physiotherapy","Number","6"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","402","Radiography and Radiation Therapy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","702","Social Care","Number","39"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","701","Social Work","Number","12"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","10","Speech and Language Therapy","Number","6"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","20","Female","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","201","Dentistry","Number","18"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","401","Medical Science","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","202","Medicine","Number","456"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","30","Nursing and Midwifery","Number","57"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","501","Occupational Therapy","Number","3"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","60","Pharmacy","Number",""
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","504","Physiotherapy","Number","6"
"HGO07C01","Number of Graduates","2010","2010","IE05","Non-Irish","-","PPSN - All","-","All genders","402","Radiography and Radiation Therapy","Number",""
