ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04237V05010","Years not captured","C04477V05260","Field of Study","UNIT","VALUE"
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","30","Nursing and Midwifery","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","28","9 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","30","Nursing and Midwifery","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","30","10 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","402","Radiography and Radiation Therapy","Number",""
