ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","C04477V05260","Field of Study","UNIT","VALUE"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","202","Medicine","Number","180"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","30","Nursing and Midwifery","Number","660"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","504","Physiotherapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","402","Radiography and Radiation Therapy","Number","33"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","702","Social Care","Number","153"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","701","Social Work","Number","78"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","10","Speech and Language Therapy","Number","57"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","401","Medical Science","Number","102"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","202","Medicine","Number","207"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","30","Nursing and Midwifery","Number","909"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","501","Occupational Therapy","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","504","Physiotherapy","Number","78"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","402","Radiography and Radiation Therapy","Number","48"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","702","Social Care","Number","510"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","701","Social Work","Number","93"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","10","Speech and Language Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2010","2010","06","6","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","33"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","401","Medical Science","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","202","Medicine","Number","45"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","30","Nursing and Midwifery","Number","252"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","501","Occupational Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","504","Physiotherapy","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","702","Social Care","Number","342"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","10","Speech and Language Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","401","Medical Science","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","202","Medicine","Number","156"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","30","Nursing and Midwifery","Number","675"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","501","Occupational Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","504","Physiotherapy","Number","66"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","402","Radiography and Radiation Therapy","Number","36"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","702","Social Care","Number","201"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","701","Social Work","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","10","Speech and Language Therapy","Number","63"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","201","Dentistry","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","401","Medical Science","Number","102"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","202","Medicine","Number","201"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","30","Nursing and Midwifery","Number","927"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","504","Physiotherapy","Number","87"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","402","Radiography and Radiation Therapy","Number","48"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","702","Social Care","Number","543"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","701","Social Work","Number","96"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","10","Speech and Language Therapy","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","07","7","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","36"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","401","Medical Science","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","202","Medicine","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","30","Nursing and Midwifery","Number","264"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","501","Occupational Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","504","Physiotherapy","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","402","Radiography and Radiation Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","702","Social Care","Number","327"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","08","8","01","Private sector","10","Speech and Language Therapy","Number","12"
