ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C04477V05260","Field of Study","UNIT","VALUE"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","501","Occupational Therapy","Euro","962"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","504","Physiotherapy","Euro","971"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","402","Radiography and Radiation Therapy","Euro","1134"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","702","Social Care","Euro","715"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","701","Social Work","Euro","1020"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","10","Speech and Language Therapy","Euro","958"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","10","10","V52","Dietetics, Optometry and Podiatry","Euro","1086"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","401","Medical Science","Euro","1295"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","202","Medicine","Euro","1864"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","30","Nursing and Midwifery","Euro","963"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","501","Occupational Therapy","Euro","1007"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","504","Physiotherapy","Euro","1000"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","402","Radiography and Radiation Therapy","Euro","1213"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","702","Social Care","Euro","754"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","701","Social Work","Euro","1123"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","10","Speech and Language Therapy","Euro","970"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","11","11","V52","Dietetics, Optometry and Podiatry","Euro","1124"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","401","Medical Science","Euro","1203"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","202","Medicine","Euro","2093"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","30","Nursing and Midwifery","Euro","1025"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","501","Occupational Therapy","Euro","1054"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","504","Physiotherapy","Euro","1034"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","402","Radiography and Radiation Therapy","Euro","1250"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","702","Social Care","Euro","796"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","701","Social Work","Euro","1126"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","10","Speech and Language Therapy","Euro","984"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","12","12","V52","Dietetics, Optometry and Podiatry","Euro","1185"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","201","Dentistry","Euro","1437"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","401","Medical Science","Euro","1343"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","202","Medicine","Euro","2876"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","30","Nursing and Midwifery","Euro","1051"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","501","Occupational Therapy","Euro","1160"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","504","Physiotherapy","Euro","1166"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","402","Radiography and Radiation Therapy","Euro","1289"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","702","Social Care","Euro","845"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","701","Social Work","Euro","1187"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","10","Speech and Language Therapy","Euro","1023"
"HGO15C01","Median Weekly Earnings of Health Graduates","2010","2010","13","13","V52","Dietetics, Optometry and Podiatry","Euro","1257"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","401","Medical Science","Euro","575"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","202","Medicine","Euro","1136"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","30","Nursing and Midwifery","Euro","672"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","501","Occupational Therapy","Euro","470"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","504","Physiotherapy","Euro","437"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","402","Radiography and Radiation Therapy","Euro","692"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","702","Social Care","Euro","429"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","701","Social Work","Euro","728"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","10","Speech and Language Therapy","Euro","393"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","01","1","V52","Dietetics, Optometry and Podiatry","Euro","629"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","401","Medical Science","Euro","629"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","202","Medicine","Euro","1208"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","30","Nursing and Midwifery","Euro","690"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","501","Occupational Therapy","Euro","643"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","504","Physiotherapy","Euro","546"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","402","Radiography and Radiation Therapy","Euro","754"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","702","Social Care","Euro","470"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","701","Social Work","Euro","767"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","10","Speech and Language Therapy","Euro","622"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","02","2","V52","Dietetics, Optometry and Podiatry","Euro","659"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","401","Medical Science","Euro","662"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","202","Medicine","Euro","1238"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","30","Nursing and Midwifery","Euro","719"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","501","Occupational Therapy","Euro","676"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","504","Physiotherapy","Euro","679"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","402","Radiography and Radiation Therapy","Euro","759"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","702","Social Care","Euro","499"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","701","Social Work","Euro","779"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","10","Speech and Language Therapy","Euro","650"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","03","3","V52","Dietetics, Optometry and Podiatry","Euro","685"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","401","Medical Science","Euro","704"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","202","Medicine","Euro","1322"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","30","Nursing and Midwifery","Euro","749"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","501","Occupational Therapy","Euro","716"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","504","Physiotherapy","Euro","690"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","402","Radiography and Radiation Therapy","Euro","743"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","702","Social Care","Euro","551"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","701","Social Work","Euro","821"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","10","Speech and Language Therapy","Euro","707"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","04","4","V52","Dietetics, Optometry and Podiatry","Euro","732"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","201","Dentistry","Euro","1032"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","401","Medical Science","Euro","877"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","202","Medicine","Euro","1368"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","30","Nursing and Midwifery","Euro","781"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","501","Occupational Therapy","Euro","747"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","504","Physiotherapy","Euro","742"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","402","Radiography and Radiation Therapy","Euro","765"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","702","Social Care","Euro","606"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","701","Social Work","Euro","841"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","10","Speech and Language Therapy","Euro","740"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","05","5","V52","Dietetics, Optometry and Podiatry","Euro","894"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","201","Dentistry","Euro","1082"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","401","Medical Science","Euro","908"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","202","Medicine","Euro","1513"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","30","Nursing and Midwifery","Euro","850"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","501","Occupational Therapy","Euro","782"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","60","Pharmacy","Euro",""
